id	article_id	menu_id	question	answer	q_mbti	a_mbti
24	803738	11	5월 ISTJ 무물 합니다![SEP]ISTJ 개인적인 질문 좋습니다.[SEP]연애 질문은 가급적 배제해주시고, 이별이나 재회 질문은 괜찮아요.[SEP]	내 바운더리 사람에겐 최대 최고 어디까지 가능하신가요?[SEP]		isfp
27	803673	11	전 한 번도 엣티제에 대해서 존경이나 어떻다 할 감정(?)을 느껴본 적이 없는 것 같기도 하고 엣팁한텐 좀 불편할 정도로 성격이 세다..[SEP]이런 감정을 종종 느끼는 것 같아요.[SEP]다른 엣티제 분들은 어떠신가요[SEP]	엣티제 by 엣티제 취향이나 방향이 맞으면 정말 친하거나 취향이나 방향이 안맞으면 정말 악연이거나 (서로재수없어함) 엣팁 : 안만나봐서 모르는데 잇팁을 만나본사람으로 엣팁은 조금 덜 답답하지않을까 싶네요[SEP]		estj
28	803672	11	잇티제 분들 친구에서 연인이 될때 어떤 포인트에서 이성으로 보였죠?[SEP]혹은 연애 상대로요[SEP]	다른 분들은 모르겠지만, 저는 첫인상에서 상대방과 친구로 남을지 연인으로 발전할지 딱 느껴져서 친구가 이성으로 느껴진 적은 없는 것 같아요.[SEP]만약 느껴진다면 헷갈리지 않게 꾸준히 저를 바라봐주고 호감 표현해주고 기다려주는 사람한테 친구로써 호감이 이성적인 호감으로 바뀔 것 같아요.[SEP]	esfp	istj
29	803648	11	더 쎄게 한방이면 더 이상 이러지 않을까요?[SEP]절 좋아해줘서 제가 받아줄까[SEP]고민하던 사이라 더 정이 떨어지네요.[SEP]	아뇨 그러지마세요[SEP]이미 지옥일거에요[SEP]		estj
30	803557	11	이런 류도 좋고 소설이나 자기계발서 등등 전부 좋아요!![SEP]여러분들의 인생책과 간략한 내용설명과 함께 추천해주시면 감사하겠습니다,, : )[SEP]모두들 좋은 오후 보내세요~[SEP]	저는 자기계발서의 최고는 시크릿 아닐까 싶어요.[SEP]사실 자기계발서의 많은 것들이 시크릿과 비슷한 맥락이죠 ㅎㅎ[SEP]	estj	enfj
32	803519	11	이러는데 짜증내는데 말투랑 인상끈 표정이 무섭기도 하고 미안하기도 하고 주변 사람들이 쳐다보니까 무안도 하고 그랬는데요 싸우거나 했을때 이런식으로 화내는(?)거 본적없는데 좀 놀라기도 해서 그런가 계속 생각나요[SEP]아팠을거니가 당연히 제가 잘못한거구요[SEP]그냥 복잡한데 자꾸 그 장면이 생각나서 맘이 쓰이네요..[SEP]	"사과님 혼자서 계속 신경쓰인다는 거죵??[SEP]저라면 진짜 아파서 그런거고, 그냥 사과님이 ""앗 장난친건데 미안 아픈줄 몰랐어 미안해 ㅠㅠ "" 이런식으로 얘기하셨으면 고의가 아닌거 알아서 별생각 없이 지나갈거 같아요 ㅋㅋㅋ[SEP]"		estj
34	803466	11	기분이 묘하네요.[SEP]상대 여자분도 제 성향 커밍아웃으로 다소 실망했을거 같은데 다시 만날때가 좀 걱정되네요.[SEP]잇티제 여자분들 남자가 부족하거나 약한모습 보이면 어떻게 생각드시나요?[SEP]	우선 그런 부분을 내가 감당할 수 있는지를 먼저 생각할 것 같고 내 기준 아니다 싶은 부분에 대해서는 좀 고민을 한 다음에 조심해 줬으면 좋겠다고 사전에 말을 할 것 같아요[SEP]제 경우에는 부정적인 면을 제가 직접 보는 것보다 상대방한테 직접 듣는 게 더 오랫동안 머릿속에 남더라구요[SEP]	infj	istj
35	803423	11	그리고 본인이 미리 서운한점을 얘기했더라면 이렇게 되지않았을거라고하며 마지막은 자기가 저한테 나쁘고 모진말들을 내뱉어서 본인이 더 힘들것같다는 말을하고 죽을것같이 힘들때 전화하면 전화는 받아주겠다고 하는데 저는 절대 그럴일없다 그게 오히려 더 아프고 잊기힘들꺼다 말했어요[SEP]그리고 연인이였을때와 다름없이 환하게 웃으며 안녕하고 돌아왔네요[SEP]엣티제들도 좋은이별이 있는지 이런 경우에 시간이 조금 흐리면 후회되어 연락하는경우가 있는지요..?[SEP]	전 엣티제는 아니지만 그냥 인간적으로 님께서 마무리를 현명하게 잘하신것 같아요.[SEP]그상태로 님께서 초연히?[SEP]		intj
37	803320	11	안해도될말 해도될말 구분을 못하는거같아요[SEP]연인분들 어떻게 대처하시나요?[SEP]	예시를 들어가며 기분이 안좋았던점을 좋은말투로 말하면 왠만해서 고쳐져요.[SEP]A=A다 융통성이 부족해 다른상황에는 에러가 있을수 있으나 본인이 기분나쁠때마다 지나치시지 말고 그때그때 지적해주세요.[SEP]		estj
38	803310	11	살면서 끌렸던 상대의 mbti 유형이 궁금합니다![SEP]띡 유형만 적고 가셔도 좋습니다!![SEP]	Isfj esfj요![SEP]	entp	istj
41	803262	11	엣티제는 티가난다는데 회식때밖에 모르겠어용[SEP]그때말곤 사적인얘기 할일이 없긴하지만..[SEP]ㅜㅜ엣티제님들 도와줘요[SEP]	옆자리앉는거면 80%[SEP]		estj
42	803181	11	ㅈㄱㄴ 어떤 모습을 보면 아, 이사람이다! 싶은가요?[SEP]	이사람 진짜 성숙하고 믿을만한 사람이구나 싶을때 확신이 와요.[SEP]일관성있는 모습을 보여줄때[SEP]	entj	estj
44	803115	11	그리고 관심은 없지만 사랑 받고 싶은 욕구를 가진 인간입니다[SEP]그치만 ISTJ에 남미새나 여미새일 확률은 적을것 같습니다[SEP]이상 바람 안핀다는 글 자꾸봐서 답답한 ISTJ가 글 썼습니다[SEP]	잇팁도 또한 그렇습니다[SEP]바람 필놈들은 어떤성향이던 다 피더라구요[SEP]	istj	istp
46	803010	11	잔소리나 차가운 대답을 듣는게 대부분 같아요. ㅠ[SEP]삐지는 모습 처럼 보이기도 하고 위 느낌으로만 보면 저를 싫어하는 것 같으면서 행동으로 볼때는 아닌것 같기도 하고 사귄지 얼마 안된 친해진 친구들에게는 저도 못 본 애교와 웃는 얼굴 친밀감을 보여주는데 저는 그런 모습 본 적도 없이 요즘 잔소리와 틱틱?거리는 느낌이 많네요.[SEP]제가 잘못 한게 있을까 이유도 잘 모르겠고 요즘은 긴장도 되고 한편으로는 여기 게시글 보면서 잔소리도 좋은 의미다 라고 생각하면서 이해하고 있지만 한편으로는 관계의 적신호인가 불안감도 들기도 하네요.[SEP]	관심 없는 사람이면 잔소리고 뭐고 아예 신경도 안써요[SEP]오히려 친절하게 대해요 ㅎㅎㅎ[SEP]		istj
47	803003	11	막 나중에 ~~같이하자[SEP]이런말 쉽게하나요?[SEP]	아뇨!!!![SEP]	esfp	entp
53	802936	11	싸울일이 전혀 아닌데, 왜 싸워야하는지 모르겠어요[SEP]남친이 워낙 로봇 스타일이긴 하지만 평소 텐션이라면 아주 조금의 위로는 가능한 사람인데..[SEP]왜 저렇게까지 화를 내는지 이해가 안되요.[SEP]	제 생각만으로는 아마 남친분이 화난건 사실 님에게 화가난게아니라 그 직원한테 화가났는데 이걸 님한테 답답하니까 저리 말한거같아요.[SEP]저도 전에 남자핀구가 배신당하거나 당하고 있음[SEP]		enfj
54	802699	11	잘 안 맞는 거 같아서 마음이 식긴했는데 좀 기분이 나쁘네요ㅋㅋㅋㅋㅋㅋㅋ[SEP]이런 식으로 기분 나쁘게 표현하시는 분은 또 처음이네요[SEP]	진짜 돌려까기의 고수네요[SEP]	intp	infj
55	802685	11	이런 저도 오글거리지만 엣티제분들은 카톡으로 원래 애정표현 잘 안하시나요...?ㅎㅎ[SEP]원래도 카톡으로는 애정표현이 없었지만 요즘은 일상 + 걍 베프랑 연락하는 느낌..?[SEP]한달이 다 되어 가는데 고백은 또 언제할지....[SEP]	모태 estj로 27년간 살다가 최근에 바뀐 사람이지만 제가 엣티제 시절로 말씀드리자면 좋아해 까진 해도 사랑해는 뭔가..[SEP]그 안에 담긴 마음이 더 커야한다고 생각하기도 하고 오글거려서 잘 못하겠더라구요[SEP]	istp	intj
97	801367	11	심심하네용 ㅎㅎ[SEP]	정말 인기 많은 신메뉴가 나오고 유명한 맛집이 생겨도 단골식당과 먹던 메뉴를 더선호하시나요[SEP]	istj	intj
56	802675	11	회사에 엣티제 분께서 잔소리 하시다가 바로 이어서 미안하다고 가만히 있겠다고 그러시는데 왜그러는걸까요..?[SEP]다른 분들한테는 뒤에 저런 말은 안하시는데, 저한테만 뒤에 저런 얘길 하시더라구요..?[SEP]제가 어색해서 그러시는걸까요?[SEP]	저희 남편이 엣티제인데 막 잔소리하다가 자기가 심했다면서 저힌테 사과해요[SEP]원래 그런줄알았는데 주변사람들이 그러는데;(시댁가족 및 친구들 직장동료의 말) 남편은 아무에게도 사과하지 않는데요 (모두에게 팩폭날림)[SEP]	isfj	intp
60	802513	11	남자친구가 엣티제인데 거의 10시간 가까이 자고 일어나서 카톡을 하다가 연락을 잘하고 있는와중에 텀이 5분도 안되었는데 답이 없길래 뭐지~[SEP]했는데 두시간 뒤에 잤다고 연락이 왔네요?[SEP]제 기준에선 남자친구가 많이 잔거 같은데(앞전에 10시간 잔거 포함) 일어나서 조금 있다가 잠온다고 말도 없이 또 잠들었다고 하는게 이해가 안가네요ㅠㅠ[SEP]	와....[SEP]엣티제.... ㅎㅎ[SEP]	enfj	infp
61	802510	11	약간이런식으로 호응도 안하고 거절도 안해요 ++[SEP]맞춤법 고자로 잠시 후퇴합니다 ㅋㅋㅋㅋ[SEP]엉엉 부끄러워요[SEP]	장난이 아니라 진심으로 다가가면 포섭 가능해 보여요![SEP]확신을 줘보세요[SEP]	infj	istj
62	802482	11	근데 간질간질 좋으면서도 재밌는데 연애할 여유가 안되서 열심히 알리는 중이에요...[SEP]근데 매력적이네요[SEP]약간 잘 토라지는 게 좀 귀찮지만...[SEP]	쪼꼼 고장나요 조절할줄 모르는잇티제든 뚝딱대면서 급발진해요[SEP]오래안가지만[SEP]	istp	infj
67	802293	11	ㅠㅠ 금요일 데이트끝나고 늘 같이있었는데 오늘은 혼자 충전의 시간이 필요하다고 갔어요......[SEP]만나는동안 한번도 없던일이라 조금 심란하네요[SEP]머리로 이해하는데 조금 서운ㅠㅠ[SEP]	혼자맘의 시간 중요해요[SEP]		estj
69	802239	11	저한테 맞춰주는건가요??[SEP]내가 괜찮다고 무조건 자기도 좋은게 어딨어요ㅠㅠㅠㅠㅠㅠㅠ[SEP]흐아 ..[SEP]	진심이에요[SEP]		estj
71	802224	11	이성에게 매력을 느끼는 포인트는 주로 뭐가 있으신가요?[SEP]대충 질문 중 하나정도만 쓰고 가주세요 ><[SEP]감사합니다[SEP]	하이브리드입장에서 1. 자기스타일아닌데 그러면 성가실겁니다 상대방이 어떤포인트에 매력느끼는지 탐색전은 하셔야할겁니다[SEP]정보획득하구요[SEP]	estj	estj
72	802136	11	진짜 무뚝뚝하다 , 진짜 기계인가[SEP]이생각 하게 되는데 친해지고 가까워질수록 나만 아는 귀여운 모습들이 생겨나는게 귀엽고 ㅠㅠㅠ 세상 다정하고 , 책임감도 크고,,, 배울점도 많고 , 그런거 같아요[SEP]여담 아닌 여담으로 전에 만났던 istj 남자친구가 늘 자기는 일이 1순위다 를 입에 달고 살던 애였는데 어느 날 갑자기 편지로 축하해, 이제 너는 일이랑 동급이야 해서 감동받아 울었던 기억이 ㅎ ㅎ ㅎ ,[SEP]	잇티제는 내 사람이다 라고 느끼면 엄청 다 퍼주죠ㅋㅋㅋㅋ[SEP]점점 잘해주는 모습에 상대방은 특별함을 느끼더라구요.[SEP]	enfj	istj
74	802091	11	이런 건 성향이나 성격유형과는 별개일까요?[SEP]istj 여자분들.[SEP]답변 좀 부탁드립니다. ^^[SEP]	전 istj는 아니지만..[SEP]사랑하는것은 성격유형과 연결시키기엔 좀 무리가있어보이네요[SEP]	istp	infp
75	802078	11	퇴근 전까지 고민, 질문 답변 성실하게 해드리겠습니다.[SEP]	다른 사람으로 인해 신념이나 행동 양식이 바뀔 때도 있나요?[SEP]있다면 언제 어떤 것을 바꾸셨나요??[SEP]		entp
77	802046	11	제가 어떤 식으로 얘기를 해야할지 모르겠습니다ㅠㅠ[SEP]제가 생각한 방법은 1) 만나서 솔직한 제 상황(불안함+꿈까지 꿈) 얘기하고 한 번만 니 진심을 얘기해주면 믿고 더이상 안 보챌게 확신 달라고 하기 2) 오늘 당장 전화로 제 상황 얘기하고, 주말동안 보기로 했던거 잠시 안 보고 서로의 시간 갖기 뭐가 더 맞는 방법일까요?ㅠㅠ[SEP]어떻게 해야할지 정말 감이 안잡혀요ㅠㅠㅜ[SEP]	저는 2주전에 말했다가 이별통보 받았어요ㅠㅠ[SEP]	isfp	isfj
81	801845	11	많이 생각나고 많이 보고싶다![SEP]그냥 끄적거려봐요…ㅎㅎ[SEP]	저도....😩😩[SEP]		estj
82	801836	11	열심히 물어보세요![SEP]퇴근 전까지 일 다 마쳐서...[SEP]시간 많스므니다....[SEP]	어떤유형이 제일 잘맞았나요?[SEP]		estj
83	801831	11	일하기 너무 싫어서.....[SEP]주제 상관없이 처음으로 무물 해봅니당ㅋㄷ[SEP]심심하신 분들 댓글 주세여 ㅋㅋㅋ[SEP]	지인이 잠수를 탔는데 읽씹인데 프사도 다없애고 잠수였어요[SEP]그사이에 만나기로한약속 못지키게되었다 연락만오고 또 읽씹이네요[SEP]	estj	esfj
84	801826	11	제가 들은건 아니고 술자리에서 처음 본 여자한테 첫인상 얘기하면서 예쁘다 하면 진심인가요?[SEP]아님 예의상 말인가요?[SEP]엣티제들 입에 발린소리 잘하는지 궁금해요![SEP]	인상이 좋으시네요![SEP]도 아니고 예쁘다라고 하는거면 진짜 예뻐서 하는 말이에요 ㅋㅋㅋ[SEP]	intp	estj
85	801812	11	2.존댓말?[SEP]vs 편한 반말?[SEP]조언 부탁드림다~~[SEP]	1. 선물이라면 소소해도 파격적이어도 다 좋은데 전혀 필요 없는 선물은 받아도 그렇게 짜릿하진 않습니당 2. 썸 중에는 존댓말이 더 좋긴한데 이건 그냥 사바사인 것 같아요 ㅋㅋ[SEP]	infj	istj
86	801739	11	잇티제님들이 과자나 치킨같은거 사와서 먹으라고 했는데 동생이 안먹겠다고 해서 방치해놨던 먹을거리가 다음날보니 말도없이 없어졌을때 화나세영???[SEP]	처음에는 짜증났는데 이젠 그려려니 하네요.[SEP]제가 꼭 남겨놓고 싶은거는 그냥 메모를 남겨요[SEP]	istj	intj
88	801575	11	연애, 고민 등등 다 답변해드립니당[SEP]	Istj의 바운더리에 들면 보여주는 행동은 어떤게 있나요?!!![SEP]썸은 보통 얼마나 타시는지…!!![SEP]		entp
89	801528	11	제가 스케쥴 바꾸자고도 안했고 본인 같이 들으셨는데ㅋㅋㅋ 절레절레하며 그만 둔 분들도 많고 저도 얼른 그만두고싶네요[SEP]1년 채우고 그만둘 건데 퇴직금 챙긴다 ㅈㄹ[SEP]하겠죠하하[SEP]	4번 너무 힘들어요 감정기복 심한 사람과는 관계형성이 잘 안되더라구요[SEP]3번 공감능력없는건 그렇다[SEP]	istp	intj
92	801465	11	6. 틀에 박힌 진정성만 고집할 때 진정성이란 기준을 스스로 갖고 있지만 대체로 사회적, 도덕적인 잣대로 두는 편이에요.[SEP]인간관계에선 자를 대고 칼로 자르듯 딱 잘라지지 않는 진정성도 있는데...[SEP]방식만 다른건데 본인이 생각하는 '진정성'의 틀에 그걸 끼워넣어 생각하니 인간관계에서 고통을 느껴요.[SEP]	잇티제 만나는 중인데 좀 힘드네여[SEP]		intp
95	801408	11	20 초 여자고 저는 엣티제 남친은 엔프제인데 생일 선물로 같이 찍은 사진 그림으로 도안 그려서 각인 키링 선물해주려고요!![SEP]이거 말고도 몇 가지 더 줄 건데 자꾸 효율적인 선물인가를 고민하게 돼서..( ;ᯅ; )[SEP]다들 어떻게 생각하세요??[SEP]	키링은 잘안쓸거같긴해요ㅠ[SEP]폰케이스나 주문제작케이크는요?[SEP]	estj	isfj
96	801377	11	잇티제분들 자기 바운더리에 들어왔다 하면 어떤 행동들이 있을까요?![SEP]	챙겨줘영![SEP]	entp	istj
98	801366	11	사귀자마자 너밖에없다[SEP]너한테 잘하겠다 내가 고쳐보겠다 이말꺼낸지 얼만지났다고 결구 말뿐인것같아[SEP]또 현타가 오네요[SEP]	사람 안변하죠 …[SEP]글쓴이님 ![SEP]	infp	infp
99	801356	11	계속 포기하려고 해도 포기가 안돼서 들이대려고 합니다.[SEP]ISTJ분들 혹시 애인이 플러팅했을 때 어떤 부분에서 넘어갔나요?[SEP]호감이 갑자기 생기는 포인트가 있을까요?[SEP]	다른 분들은 어떠실지 모르겠지만 저는 상대방이 꼬시는 것보다 제가 꽂혀야 마음이 생기는 편이라..[SEP]막 꼬시면 오히려 더 부담스러워서 백스텝 밟게 되더라구요..![SEP]		istj
100	801307	11	물론 엄마는 사과는 커녕 제가 저런 지적이나 비꼬는 말에 기분 상하는 것 자체를 아웃오브안중 인것 같지만요)[SEP]이 카페 검색해보니 ISTJ엄마는 원래 사과를 안하는군요[SEP]사과도 어찌보면 속마음을 꺼내는거니까요[SEP]	엄마는 감정적표현을 딸은 이성적표현으로 일상에서는 잘 맞지는 않습니다.[SEP]istj는 도무지 이해하려 하지도않고 이성적인 표현을 싫어하네요, 이유나 목적도 표현안하고 혼자서 알아서 하려는 성향이라 답답하죠.[SEP]	entj	entj
102	801236	11	스토리 보면서 티내는게 나을까요[SEP]아님 정말 아무렇지않게 연락1도 없이 없는듯 지내는게 나을까요..ㅠㅠㅠ[SEP]도와주세요[SEP]	제가 알기론 미련같은거 없는 유형이라던데요..[SEP]보든 말든 단 1도 별생각 없을듯요..[SEP]		infj
103	801213	11	내용은 영상에.[SEP]운영자님, 부디 오해 없으시길 바랍니다.[SEP]	우리집 고양이는 안 먹어요 ㅅㅂ[SEP]	istj	entj
104	801172	11	남자친구 넘 넘 넘 넘 좋아해보적 있나용?[SEP]있다면 스스로가 어떤 모습이었나요?[SEP]전 제가 istj 여자이지만 이런 제 모습 낯서네요...[SEP]	저는 연애할때 제가 F가 된게아닌가 생각합니다 ㅎㅎ[SEP]그리고 내모든계획이 다 어그러져도 몇분이라도 볼수있음 세워놓은 모든계획을 다 취소시킬수도 있어요 ㅎ[SEP]	istj	estj
108	800853	11	사실 처음에 진담으로 한 말인줄 알고 진지하게 대답했는데 ㅋㅋㅋㅋ 다 지나고 뒤늦게 장난으로 한 말이란 걸 깨달았어요 ㅠㅠ ...[SEP]다른 잇티제분들은 농담을 했는데 상대방이 잘 안받아주면 어떤 기분이 드시나요 ㅠㅠㅋㅋㅋ..[SEP]그리고 장난치는 정도면 저한테 어느정도 호감을 가지고 있는거겠죠??[SEP]	잇티제 보기보다 장난많고 티키타카 잘되는거 좋아해요[SEP]적당히 받아쳐줘야 해요[SEP]	entj	infj
112	800696	11	엣티제랑 잇프제가 심하게 싸웠고 제가 그 사이에 껴있는데요 싸움난지는 4일정도 지났어요[SEP]그간 셋이서 같이하던 단톡이 조용해졌고요 엣티제가 저랑은 사이가 좋았기땜에 먹을거라도 가져다주고 싶은데 엣티제는 화나면 그냥 가만 내버려 둬야한다고 들어서요 일주일 정도 가만두는게 나을까요[SEP]	이야기 들어주는것도 좋습니다[SEP]단 충고는 안돼요[SEP]	isfp	estj
207	794459	11	다른 유형보다 우울증에 취약한 엠비티아이가 istj 라는데 우울증 걸려보신분께 궁금함이 생깁니다.[SEP]우울증 전과 비교했을때 어떤것이 달라지셨는지요.[SEP]	헐 진짜요?[SEP]그리고 또 무슨mbti있나요?[SEP]	istj	istp
117	800485	11	만약에 이별을 한다고 하면 재회 하고 싶어요.[SEP]여자친구 성격 상 바람은 절대 아닌데 제가 너무 어렸나봐요.[SEP]ESTJ는 재회가 불가능하다고 하는데 어떡하면 좋을까요?[SEP]	움 저는 거리가 멀고 떨어져있을수록 연락이 중요하다 생각하는데 여자친구도 연락부분은 좀 노력해줬으면 하네요[SEP]아직 이별은 아닌 거 같은데 연락 한번 더 해보시면 어떨까요 ?[SEP]		infp
118	800463	11	생각이 드네요🥶[SEP]어떠신가요[SEP]잇티제분들ㅋㅋㅋ연인 한정으로 어떤 행동이든 용서 가능인가요??🥹[SEP]	내사람한정 무한 다정입니다ㅎㅎㅎ 다른사람은 안되고 내 사람은 돼요ㅋㅋㅋㅋ[SEP]	enfj	istj
120	800377	11	읽씹하면 관심 조금 있더라도 기분나빠서 연락 없을라나요? +[SEP]잇티제는 호감있는 상대한테 어떻게 하나요..?[SEP]플러팅 잘 못하고 플러팅 받으면 많이 부끄러워하나요?[SEP]	제 남친이 istj인데 썸탈때 제가 생각했던건 기본적으로 shy가 베이스인 사람들이라 선넘지않고 너무 정신없지 않은 선에서 *밀당하지말고* 직진하는게 중요한거같았어요.[SEP]본인들도 내가 상대방을 좋아하는건가?를 잘 모른다고 들어서..[SEP]	entp	enfj
